iu,88,148
kz,68,158
rf,93,159
nx,94,164
of,94,184
xd,62,142
hg,59,199
yi,48,166
yv,94,192
ah,57,147
vq,88,192
ez,42,196
mp,95,140
pe,66,143
bv,86,180
bd,55,173
pp,84,177
mc,48,198
qe,50,167
oj,94,190
qw,95,171
up,83,151
jt,40,146
fw,85,168
ca,74,155
fj,42,157
cc,94,145
ja,70,193
ep,86,161
fh,89,187
ab,90,198
sx,95,164
fb,88,145
tn,94,141
go,71,149
yf,93,160
cx,87,193
hu,49,160
wr,44,172
rm,46,158
fr,90,166
ko,48,149
ac,50,154
bm,82,179
ug,51,158
rq,66,143
yw,56,152
ej,71,164
ld,40,196
xp,70,145
df,98,191
xw,63,142
rt,78,169
hk,46,155
sl,71,182
ct,70,153
dj,63,146
vn,67,165
ix,44,151
sw,69,141
rt,94,150
kw,98,198
go,61,163
ip,72,178
ks,49,187
ja,63,151
fs,63,197
vp,56,181
br,87,167
dd,49,178
yc,45,170
yg,54,164
kt,79,153
eu,56,147
an,99,154
re,42,141
nx,68,156
sy,78,159
oi,52,160
vb,80,158
xr,83,186
zw,44,195
iw,80,161
ir,41,172
fy,97,152
dd,88,162
ny,90,152
zb,76,166
fk,75,155
qc,64,190
wx,68,143
jc,77,153
zj,58,146
uk,43,186
xb,61,151
um,65,145
or,94,148
au,97,151
pv,84,188
en,49,151
pb,99,172
ja,52,160
qm,68,174
yi,97,158
dh,49,156
qh,87,175
rf,70,159
gu,45,187
to,89,182
zj,46,161
zq,67,158
ir,70,180
ll,43,180
ch,85,158
de,43,190
dx,78,163
hw,59,149
wz,72,196
fv,67,170
mw,91,160
bj,95,180
xo,63,177
ea,93,145
ag,94,179
wi,83,173
fi,68,188
es,83,141
is,81,149
me,81,183
qm,47,150
no,42,154
wm,96,195
tj,91,149
qn,68,196
ti,65,163
gm,56,180
dn,68,185
wa,66,153
ce,63,179
vt,88,157
ml,47,185
iy,68,170
do,67,195
co,53,182
ba,62,180
ws,80,161
dn,99,158
st,67,144
nb,60,158
mm,73,149
vs,46,181
ok,95,190
sy,47,142
xh,91,168
gr,85,155
cj,55,171
va,81,188
fk,57,188
qb,92,163
wv,50,170
cb,59,155
vt,90,155
hm,73,151
jy,75,172
sv,86,146
wy,90,195
xa,86,141
my,92,197
oi,73,190
yb,83,181
lf,72,199
qu,60,165
ly,83,184
lm,61,197
he,94,151
sy,65,194
tk,82,195
bs,95,198
zx,92,175
bh,99,182
mt,87,140
hf,94,142
vx,56,147
tn,55,170
dj,80,150
tx,63,156
tt,51,198
yg,96,185
rv,86,167
vz,47,171
wu,93,189
kb,83,189
qw,90,161
ue,74,179
xp,75,172
tv,56,175
ad,42,192
wb,45,156
kx,59,171
sq,57,166
ft,98,189
tj,97,153
ex,76,197
qp,79,146
am,50,185
sr,48,172
zf,88,160
io,91,177
qr,48,197
ih,98,185
gf,85,195
lb,59,146
rn,56,161
on,49,192
tr,81,173
fc,45,180
xh,88,142
ha,78,162
sh,89,176
fx,49,192
xs,90,156
xl,57,164
fu,43,189
jg,42,163
al,83,161
xn,64,180
gd,46,141
by,79,155
og,81,188
jb,50,169
wo,89,186
lg,92,189
ab,88,156
xw,43,162
gp,94,198
kr,61,166
ik,72,168
gs,77,177
kk,80,154
he,84,158
du,42,179
te,51,155
cg,58,174
bd,65,174
qz,63,173
ig,90,173
vy,48,161
ox,57,177
nc,57,198
vg,56,163
ci,99,164
cn,86,163
xq,68,198
vt,93,181
mn,81,140
mx,56,172
po,71,145
fw,52,142
tn,70,198
hg,98,144
ku,40,161
pk,74,157
lj,40,177
rr,58,148
ds,95,153
yw,78,148
mp,88,168
qm,84,191
cm,93,179
ry,63,148
er,43,160
jq,42,154
dh,86,156
wj,61,181
wr,54,169
qm,97,185
xc,44,185
dx,66,194
lw,89,153
vi,84,150
pr,88,161
ol,72,185
ik,86,191
lu,77,190
un,67,166
hk,75,179
mo,51,175
da,94,181
jb,52,154
lh,53,164
zq,40,151
xx,60,170
vx,46,156
bs,55,176
qi,84,173
vf,48,171
lj,55,164
wx,54,148
in,79,178
kw,80,189
pe,50,156
jb,61,153
nq,89,195
mu,64,198
sp,60,152
fc,41,151
yk,48,173
ir,43,180
bg,44,169
go,50,197
jh,64,188
bc,75,187
nh,53,178
dq,90,182
dw,40,159
ip,68,146
wp,56,173
mm,70,152
hx,94,193
md,53,160
kv,42,177
hi,82,188
gx,86,168
fa,96,144
at,58,153
xr,97,187
ss,64,150
